Year,Month,Day,Scan_start(UTC),Latitude,Longitude,FRP(MW),Confidence
2018,07,31,0353534,-16.7663,145.51,25.828,85
2018,07,31,0353534,-16.7594,145.516,30.6691,93
2018,07,31,0353534,-16.7605,145.508,16.5773,55
2018,07,31,0353534,-16.5976,145.378,9.24742,71
2018,07,31,0353534,-16.3307,144.503,10.3207,78
2018,07,31,0353534,-16.3197,144.531,7.09609,26
2018,07,31,0353534,-16.3208,144.524,9.66649,51
2018,07,31,0353534,-15.7003,145.103,6.66692,54
2018,07,31,0353534,-15.7014,145.096,11.7923,80
2018,07,31,0353534,-16.7856,136.933,15.0173,56
2018,07,31,0353534,-16.7742,136.944,17.4938,65
2018,07,31,0353534,-16.7769,136.92,62.0967,91
2018,07,31,0353534,-16.7782,136.908,154.034,100
2018,07,31,0353534,-15.5711,145.243,4.58399,60
2018,07,31,0353534,-15.5733,142.677,13.9817,80
2018,07,31,0353534,-15.5499,141.875,12.726,39
2018,07,31,0353534,-15.4707,142.073,32.3945,91
2018,07,31,0353534,-15.4718,142.065,50.139,97
2018,07,31,0353534,-15.4658,142.055,15.1634,55
2018,07,31,0353534,-15.4597,142.046,20.5443,78
2018,07,31,0353534,-15.4609,142.037,30.4249,84
2018,07,31,0353534,-15.1598,142.956,15.2503,83
2018,07,31,0353534,-14.8479,145.021,12.7747,81
2018,07,31,0353534,-14.8134,144.979,47.3664,98
2018,07,31,0353534,-14.8145,144.972,5.88113,50
2018,07,31,0353534,-15.1092,142.964,7.94876,24
2018,07,31,0353534,-15.0918,142.938,4.77355,46
2018,07,31,0353534,-14.7855,144.857,7.39842,53
2018,07,31,0353534,-15.1363,142.417,9.81375,62
2018,07,31,0353534,-15.1292,142.416,50.0644,97
2018,07,31,0353534,-15.1304,142.408,42.0213,95
2018,07,31,0353534,-15.1315,142.399,31.6302,91
2018,07,31,0353534,-15.1221,142.415,17.8349,58
2018,07,31,0353534,-15.1233,142.407,83.5016,100
2018,07,31,0353534,-15.1244,142.398,21.5344,85
2018,07,31,0353534,-15.9402,135.969,9.70021,49
2018,07,31,0353534,-15.941,135.962,24.4532,85
2018,07,31,0353534,-15.1162,142.406,104.836,100
2018,07,31,0353534,-15.1174,142.397,19.7037,83
2018,07,31,0353534,-15.9303,135.961,34.7809,90
2018,07,31,0353534,-15.9311,135.954,108.75,100
2018,07,31,0353534,-15.9318,135.947,95.3292,100
2018,07,31,0353534,-15.9326,135.94,12.0322,32
2018,07,31,0353534,-15.9333,135.934,14.611,44
2018,07,31,0353534,-15.108,142.413,37.8616,94
2018,07,31,0353534,-15.1092,142.404,31.0898,78
2018,07,31,0353534,-15.9242,135.919,26.8665,52
2018,07,31,0353534,-15.101,142.412,68.7143,100
2018,07,31,0353534,-15.1021,142.403,20.1637,61
2018,07,31,0353534,-15.9142,135.91,17.0698,71
2018,07,31,0353534,-15.0939,142.411,71.3006,100
2018,07,31,0353534,-15.9013,135.93,11.9221,29
2018,07,31,0353534,-15.902,135.923,29.7741,78
2018,07,31,0353534,-15.0868,142.41,64.1168,100
2018,07,31,0353534,-15.8869,135.963,8.51239,69
2018,07,31,0353534,-15.8876,135.956,7.53798,63
2018,07,31,0353534,-15.0786,142.417,16.6447,72
2018,07,31,0353534,-15.0798,142.408,177.24,100
2018,07,31,0353534,-15.0809,142.4,106.798,100
2018,07,31,0353534,-15.0727,142.407,19.3344,53
2018,07,31,0353534,-15.0738,142.399,182.419,100
2018,07,31,0353534,-15.075,142.391,8.95455,61
2018,07,31,0353534,-15.0656,142.406,113.044,100
2018,07,31,0353534,-15.0668,142.398,44.8761,95
2018,07,31,0353534,-15.0586,142.405,116.352,100
2018,07,31,0353534,-15.0597,142.397,17.6994,63
2018,07,31,0353534,-15.0587,142.406,109.989,100
2018,07,31,0353534,-15.0598,142.398,29.2554,75
2018,07,31,0353534,-15.0505,142.413,92.6164,100
2018,07,31,0353534,-15.0516,142.405,47.0589,85
2018,07,31,0353534,-15.0434,142.412,65.065,100
2018,07,31,0353534,-15.0446,142.404,43.0302,85
2018,07,31,0353534,-15.0363,142.411,109.72,100
2018,07,31,0353534,-15.0375,142.403,34.7075,84
2018,07,31,0353534,-15.8595,136.027,7.12488,57
2018,07,31,0353534,-15.0281,142.418,15.3588,85
2018,07,31,0353534,-15.0211,142.417,12.5939,28
2018,07,31,0353534,-15.0222,142.409,73.7474,100
2018,07,31,0353534,-15.0234,142.401,16.4003,48
2018,07,31,0353534,-15.0152,142.408,84.7871,100
2018,07,31,0353534,-15.0163,142.4,18.0398,71
2018,07,31,0353534,-15.007,142.415,9.7278,34
2018,07,31,0353534,-15.8111,136.076,9.60951,70
2018,07,31,0353534,-15.0754,141.872,13.6845,78
2018,07,31,0353534,-14.9928,142.413,16.0211,46
2018,07,31,0353534,-15.067,141.879,9.36668,65
2018,07,31,0353534,-15.0682,141.871,58.769,98
2018,07,31,0353534,-15.0705,141.854,16.5009,82
2018,07,31,0353534,-14.9753,142.435,8.70707,40
2018,07,31,0353534,-14.9787,142.411,78.7853,100
2018,07,31,0353534,-14.966,142.45,59.7012,99
2018,07,31,0353534,-14.9672,142.442,56.0118,98
2018,07,31,0353534,-14.9683,142.434,28.2886,89
2018,07,31,0353534,-14.9706,142.418,22.4547,86
2018,07,31,0353534,-14.9717,142.41,148.951,100
2018,07,31,0353534,-14.9567,142.465,15.3449,57
2018,07,31,0353534,-14.943,142.513,10.804,35
2018,07,31,0353534,-14.9452,142.496,11.9313,22
2018,07,31,0353534,-14.9486,142.472,46.0508,96
2018,07,31,0353534,-15.0343,141.848,46.3215,95
2018,07,31,0353534,-14.9427,142.463,34.6765,91
2018,07,31,0353534,-15.027,141.847,18.6582,58
2018,07,31,0353534,-15.0282,141.839,47.4447,96
2018,07,31,0353534,-15.0294,141.83,27.3638,88
2018,07,31,0353534,-15.0305,141.822,10.8746,53
2018,07,31,0353534,-15.0317,141.813,14.058,69
2018,07,31,0353534,-14.9428,142.464,31.7659,84
2018,07,31,0353534,-15.0302,141.849,45.4333,96
2018,07,31,0353534,-15.0315,141.841,30.9341,82
2018,07,31,0353534,-14.9312,142.495,10.2359,45
2018,07,31,0353534,-14.9323,142.487,9.673,38
2018,07,31,0353534,-14.9335,142.479,19.4929,76
2018,07,31,0353534,-15.0242,141.84,27.3587,76
2018,07,31,0353534,-15.0254,141.831,18.6329,52
2018,07,31,0353534,-15.0146,141.856,11.7729,73
2018,07,31,0353534,-15.0158,141.847,59.2772,99
2018,07,31,0353534,-15.017,141.839,25.3377,84
2018,07,31,0353534,-15.0182,141.83,46.1645,95
2018,07,31,0353534,-15.0194,141.822,117.889,100
2018,07,31,0353534,-14.9183,142.485,15.3045,24
2018,07,31,0353534,-14.9194,142.477,73.6558,100
2018,07,31,0353534,-15.0109,141.829,41.2544,94
2018,07,31,0353534,-15.0121,141.821,25.1095,88
2018,07,31,0353534,-15.5444,136.183,10.7718,52
2018,07,31,0353534,-15.5339,136.182,12.9755,46
2018,07,31,0353534,-15.5346,136.176,17.7207,67
2018,07,31,0353534,-15.5344,136.181,20.4444,62
2018,07,31,0353534,-15.5351,136.174,15.6489,60
2018,07,31,0353534,-14.768,141.708,13.7349,79
2018,07,31,0353534,-14.7692,141.699,42.4146,94
2018,07,31,0353534,-14.7583,141.724,23.4465,87
2018,07,31,0353534,-14.4587,142.78,4.33131,49
2018,07,31,0353534,-14.3205,141.83,6.92391,67
2018,07,31,0353534,-14.3217,141.821,7.25598,68
2018,07,31,0353534,-14.2172,141.85,16.5148,82
2018,07,31,0353534,-14.0653,142.115,6.72118,68
2018,07,31,0353534,-13.9237,142.252,6.36725,58
2018,07,31,0353534,-13.9167,142.251,7.54461,52
2018,07,31,0353534,-13.9026,142.249,18.2621,84
2018,07,31,0353534,-13.8956,142.248,15.5111,82
2018,07,31,0353534,-13.9695,141.713,22.1071,55
2018,07,31,0353534,-13.8956,142.248,16.1222,77
2018,07,31,0353534,-13.971,141.722,20.4253,41
2018,07,31,0353534,-13.9722,141.714,24.1797,72
2018,07,31,0353534,-13.8149,141.803,10.1757,68
2018,07,31,0353534,-14.6896,134.427,14.4154,74
2018,07,31,0353534,-13.6764,141.551,10.1178,74
2018,07,31,0353534,-13.5977,141.816,10.5485,29
2018,07,31,0353534,-13.5572,141.793,8.12973,62
2018,07,31,0353534,-13.3431,143.078,6.71768,74
2018,07,31,0353534,-13.3442,143.071,44.245,97
2018,07,31,0353534,-13.5567,141.606,10.2212,48
2018,07,31,0353534,-13.3374,143.07,53.9043,99
2018,07,31,0353534,-13.3385,143.063,56.911,100
2018,07,31,0353534,-13.3306,143.069,37.512,95
2018,07,31,0353534,-13.5161,141.787,10.5046,58
2018,07,31,0353534,-13.509,141.786,16.9724,82
2018,07,31,0353534,-13.5003,141.64,12.9414,49
2018,07,31,0353534,-14.2917,135.067,12.3375,75
2018,07,31,0353534,-13.4149,141.739,10.5137,57
2018,07,31,0353534,-13.3245,142.319,7.34789,41
2018,07,31,0353534,-13.3257,142.312,9.63122,59
2018,07,31,0353534,-13.4078,141.738,10.2094,60
2018,07,31,0353534,-14.4311,133.479,19.2126,63
2018,07,31,0353534,-14.4168,133.496,13.1886,33
2018,07,31,0353534,-13.2794,142.337,9.09636,45
2018,07,31,0353534,-14.5371,131.681,8.79326,28
2018,07,31,0353534,-13.2507,142.388,9.26024,33
2018,07,31,0353534,-13.3011,142.032,8.13594,68
2018,07,31,0353534,-13.3022,142.024,9.94976,66
2018,07,31,0353534,-14.5271,131.642,37.2682,80
2018,07,31,0353534,-14.5283,131.629,44.2324,82
2018,07,31,0353534,-14.5193,131.577,27.8595,57
2018,07,31,0353534,-14.5205,131.564,45.4741,61
2018,07,31,0353534,-14.5199,131.645,19.5889,71
2018,07,31,0353534,-14.5211,131.633,56.1014,85
2018,07,31,0353534,-14.5224,131.62,11.3784,38
2018,07,31,0353534,-14.5125,131.581,17.7412,31
2018,07,31,0353534,-14.5138,131.568,47.6112,83
2018,07,31,0353534,-14.4952,131.474,43.8403,80
2018,07,31,0353534,-14.1058,135.037,32.207,88
2018,07,31,0353534,-14.1067,135.03,43.3483,86
2018,07,31,0353534,-14.4723,131.565,17.9073,59
2018,07,31,0353534,-14.4137,131.596,10.8683,29
2018,07,31,0353534,-14.4149,131.583,28.3147,58
2018,07,31,0353534,-13.1383,142.065,10.8501,36
2018,07,31,0353534,-13.1394,142.057,89.0384,94
2018,07,31,0353534,-14.4208,131.588,11.8185,15
2018,07,31,0353534,-14.407,131.587,22.2833,73
2018,07,31,0353534,-13.0576,142.478,7.18306,67
2018,07,31,0353534,-13.0507,142.477,22.6255,89
2018,07,31,0353534,-13.1068,142.085,7.84081,53
2018,07,31,0353534,-13.031,142.212,12.4921,74
2018,07,31,0353534,-12.9395,142.453,18.6418,86
2018,07,31,0353534,-12.9325,142.452,4.55914,56
2018,07,31,0356442,-8.30139,138.281,5.8386,66
2018,07,31,0356442,-8.06628,139.808,8.2034,67
2018,07,31,0356442,-8.09053,139.479,9.31973,74
2018,07,31,0356442,-8.02674,139.766,7.04012,70
2018,07,31,0356442,-8.08917,139.269,16.6001,80
2018,07,31,0356442,-7.77254,140.544,14.9061,81
2018,07,31,0356442,-7.78315,138.838,7.0207,62
2018,07,31,0356442,-6.66939,145.769,51.2382,97
2018,07,31,0356442,-7.51486,139.581,7.39974,66
2018,07,31,0356442,-6.32681,146.299,9.30906,71
2018,07,31,0356442,-6.32815,146.29,7.57653,70
2018,07,31,0356442,-6.28622,146.18,6.78727,56
2018,07,31,0356442,-6.24876,146.201,13.4058,81
2018,07,31,0356442,-6.26055,145.664,23.8101,88
2018,07,31,0356442,-6.32852,145.191,5.69545,67
2018,07,31,0356442,-6.29366,145.085,8.47285,75
2018,07,31,0356442,-6.29487,145.077,32.4449,93
2018,07,31,0356442,-5.99657,146.776,15.749,79
2018,07,31,0356442,-5.98911,146.775,57.8462,96
2018,07,31,0356442,-6.16562,145.44,3.93805,56
2018,07,31,0356442,-6.1716,145.402,8.62706,77
2018,07,31,0356442,-6.17281,145.394,4.05461,69
2018,07,31,0356442,-6.17069,145.361,7.32738,72
2018,07,31,0356442,-6.01809,146.011,10.9463,78
2018,07,31,0356442,-5.83091,145.781,5.15047,55
2018,07,31,0356442,-5.71506,145.327,7.09314,72
2018,07,31,0356442,-5.687,145.323,3.47668,66
2018,07,31,0356442,-5.68823,145.315,11.8624,80
2018,07,31,0356442,-6.5845,139.359,9.3404,73
2018,07,31,0356442,-6.01065,142.925,3.85043,63
2018,07,31,0356442,-5.78197,144.244,7.60343,78
2018,07,31,0356442,-6.5057,139.267,8.038,71
2018,07,31,0356442,-6.51071,139.071,9.86643,72
2018,07,31,0356442,-6.44249,139.378,5.16333,58
2018,07,31,0356442,-5.85151,142.858,3.46348,67
2018,07,31,0356442,-6.36971,139.248,4.6012,46
2018,07,31,0356442,-5.80682,142.929,5.58735,72
2018,07,31,0356442,-5.66408,143.781,4.95609,44
2018,07,31,0356442,-5.49669,143.988,7.36161,75
2018,07,31,0356442,-5.70349,142.587,4.94794,56
2018,07,31,0356442,-6.20846,139.192,7.6124,65
2018,07,31,0356442,-6.12332,139.62,9.9794,74
2018,07,31,0356442,-6.21816,138.747,14.468,78
2018,07,31,0356442,-6.21294,138.748,15.4418,80
2018,07,31,0356442,-5.0418,144.609,3.7981,64
2018,07,31,0356442,-4.93104,144.714,16.441,85
2018,07,31,0356442,-4.92415,144.713,8.73262,77
2018,07,31,0356442,-4.91388,144.689,4.3577,67
2018,07,31,0356442,-4.91854,144.659,5.54206,71
2018,07,31,0356442,-4.91167,144.658,3.7488,65
2018,07,31,0356442,-4.89319,144.442,4.25058,66
2018,07,31,0356442,-4.88637,144.441,55.2793,99
2018,07,31,0356442,-4.72897,144.667,11.8183,80
